region	active	city	state	country	lat	long	college_abbr	college	college_long
1A	1	Boston	MA	USA	42.340063	-71.089857		Northeastern	Northeastern University
1A	2	Cambridge	MA	USA	42.377003	-71.116660		Harvard	Harvard University
1A	2	Cambridge	MA	USA	42.360091	-71.094160		MIT	Massachusetts Institute of Technology
1A	2	Providence	RI	USA	41.826772	-71.402548		Brown	Brown University
1A	1	Storrs	CT	USA	41.807741	-72.253981	UConn	Connecticut	University of Connecticut
1A	2	New Haven	CT	USA	41.316324	-72.922343		Yale	Yale University
1A	1	Brunswick	ME	USA	43.907503	-69.961774		Bowdoin	Bowdoin College
1A	1	Hanover	NH	USA	43.704441	-72.288694		Dartmouth	Dartmouth College
1A	1	Medford	MA	USA	42.407484	-71.119023		Tufts	Tufts University
1A	1	Waltham	MA	USA	42.364989	-71.258663		Brandeis	Brandeis University
1A	1	Chestnut Hill	MA	USA	42.335549	-71.168495	BC	Boston College	Boston College
1A	0	Needham	MA	USA	42.293167	-71.263665		Olin	Olin College
1A	1	Amherst	MA	USA	42.370910	-72.517003		Amherst	Amherst College
1A	1	Williamstown	MA	USA	42.713023	-73.203008		Williams	Williams College
1A	1	Worcester	MA	USA	42.252233	-71.824484		Clark	Clark University
1A	0	Middletown	CT	USA	41.556610	-72.656904		Wesleyan	Wesleyan University
1B	1	Rochester	NY	USA	43.130553	-77.626003		Rochester	University of Rochester
1B	1	Syracuse	NY	USA	43.038823	-76.133724		Syracuse	Syracuse University
1B	1	Syracuse	NY	USA	43.034486	-76.136607		ESF	College of Environmental Science and Forestry
1B	1	Geneva	NY	USA	42.932939	-76.927684		HWS	Hobart and William Smith	Hobart and William Smith Colleges
1B	1	Hamilton	NY	USA	42.816615	-75.540176		Colgate	Colgate University
1B	1	Troy	NY	USA	42.730172	-73.678803		RPI	Rensselaer Polytechnic Institute
1B	2	Ithaca	NY	USA	42.453449	-76.473503		Cornell	Cornell University
1B	2	Henrietta	NY	USA	43.084412	-77.674949		RIT	Rochester Institute of Technology
1B	1	Albany	NY	USA	42.691741	-73.825661		Albany	University at Albany
1B	1	Buffalo	NY	USA	42.958236	-78.821006		Buffalo	University at Buffalo
1B	2	Binghamton	NY	USA	42.089620	-75.969490		Binghamton	Binghamton University
2A	2	New York	NY	USA	40.807536	-73.962573		Columbia	Columbia University
2A	2	New York	NY	USA	40.729513	-73.996461		NYU	New York University
2A	2	New Brunswick	NJ	USA	40.500819	-74.447399		Rutgers	Rutgers University-New Brunswick
2A	2	Princeton	NJ	USA	40.343989	-74.651448		Princeton	Princeton University
2A	2	University Park	PA	USA	40.814796	-77.865313	PSU	Penn State	Pennsylvania State University
2A	2	Philadelphia	PA	USA	39.952219	-75.193214		Penn	University of Pennsylvania
2A	1	Haverford	PA	USA	40.007581	-75.305151		Haverford	Haverford College
2A	1	Glassboro	NJ	USA	39.710171	-75.119005		Rowan	Rowan University
2A	2	Newark	DE	USA	39.677950	-75.750611		Delaware	University of Delaware
2A	2	Baltimore	MD	USA	39.329901	-76.620518	JHU	Johns Hopkins	Johns Hopkins University
2A	2	College Park	MD	USA	38.986918	-76.942554	UMD	Maryland	University of Maryland-College Park
2A	2	Washington	DC	USA	38.907609	-77.072258		Georgetown	Georgetown University
2A	1	Washington	DC	USA	38.899778	-77.048487	GW	George Washington	George Washington University
2A	1	Washington	DC	USA	38.936998	-76.998649		Catholic	Catholic University of America
2A	1	Poughkeepsie	NY	USA	41.686799	-73.895700		Vassar	Vassar College
2A	1	Annandale-On-Hudson	NY	USA	42.023287  -73.909319		Bard	Bard College
2A	2	Swarthmore	PA	USA	39.906841	-75.355648		Swarthmore	Swarthmore College
2A	1	Gettysburg	PA	USA	39.834949	-77.232193		Gettysburg	Gettysburg College
2A	1	Villanova	PA	USA	40.037056	-75.343580		Villanova	Villanova University
2A	1	Bethlehem	PA	USA	40.605591	-75.377297		Lehigh	Lehigh University
2B	2	Richmond	VA	USA	37.549505	-77.450972		VCU	Virginia Commonwealth University
2B	2	Charlottesville	VA	USA	38.033553	-78.507977	UVA	Virginia	University of Virginia
2B	2	Blacksburg	VA	USA	37.228384	-80.423417	VT	Virginia Tech	Virginia Polytechnic Institute and State University
2B	1	Harrisonburg	VA	USA	38.435390	-78.869642	JMU	James Madison	James Madison University
2B	2	Durham	NC	USA	36.001426	-78.938229		Duke	Duke University
2B	1	Fairfax	VA	USA	38.831488	-77.311944	GMU	George Mason	George Mason University
2B	1	Lexington	VA	USA	37.790486	-79.444956	W&L	Washington & Lee	Washington & Lee University
2B	1	Salem	VA	USA	37.294248	-80.054927		Roanoke	Roanoke College
2B	1	Lynchburg	VA	USA	37.352932	-79.176928		Liberty	Liberty University
2B	1	Williamsburg	VA	USA	37.271674	-76.713378	W&M	William & Mary	The College of William & Mary
2B	2	Chapel Hill	NC	USA	35.904912	-79.046913	UNC	North Carolina	The University of North Carolina at Chapel Hill
2B	1	Raleigh	NC	USA	35.784663	-78.682095		NC State	North Carolina State University
2B	0	Elon	NC	USA	36.106527	-79.502838		Elon	Elon University
2B	1	Winston-Salem	NC	USA	36.135250	-80.276342		Wake Forest	Wake Forest University
2B	1	Boone	NC	USA	36.637570  -81.309815		Appalachian State	Appalachian State University
3A	1	Johnson City	TN	USA	36.302537	-82.370193		ETSU	East Tennessee State University
3A	1	Greeneville	TN	USA	36.172330	-82.760796		Tusculum	Tusculum University
3A	2	Lexington	KY	USA	38.030651	-84.503970		Kentucky	University of Kentucky
3A	1	Bowling Green	KY	USA	36.985354	-86.456138		WKU	Western Kentucky University
3A	1	Louisville	KY	USA	38.212276	-85.758502		Louisville	University of Louisville
3A	2	Louisville	KY	USA	38.246241	-85.752820	JCTC	Jefferson	Jefferson Community & Technical College
3A	2	Nashville	TN	USA	36.144703	-86.802655		Vanderbilt	Vanderbilt University
3A	1	Nashville	TN	USA	36.133163	-86.794293		Belmont	Belmont University
3A	1	Lexington	KY	USA	38.053147	-84.493651		Transylvania	Transylvania University
3A	2	Knoxville	TN	USA	35.954401	-83.929456		Tennessee	University of Tennessee-Knoxville
3B	2	Columbia	SC	USA	33.996112	-81.027428		South Carolina	University of South Carolina
3B	2	Athens	GA	USA	33.948005	-83.377322	UGA	Georgia	University of Georgia
3B	2	Atlanta	GA	USA	33.775618	-84.396285	GT	Georgia Tech	Georgia Institute of Technology
3B	2	Auburn	AL	USA	32.593357	-85.495166		Auburn	Auburn University
3B	1	Clemson	SC	USA	34.676094	-82.836415		Clemson	Clemson University
3B	1	Due West	SC	USA	34.330607	-82.390520		Erskine	Erskine College
3B	1	Charleston	SC	USA	32.783612	-79.937176		Charleston	College of Charleston
3B	1	Spartanburg	SC	USA	34.958066	-81.934490		Wofford	Wofford College
3B	1	Tuscaloosa	AL	USA	33.214023	-87.539142		Alabama	University of Alabama
3B	1	Birmingham	AL	USA	33.652885	-86.707288		Jefferson State	Jefferson State Community College
3B	1	Phil Campbell	AL	USA	34.344268	-87.730681	NWSCC	Northwest-Shoals	Northwest-Shoals Community College
3B	1	Enterprise	AL	USA	31.300256	-85.836203	ESCC	Enterprise State	Enterprise State Community College
3B	1	Wadley	AL	USA	33.129517	-85.573249		Southern Union	Southern Union Community College
3B	1	Starkville	MS	USA	33.464331	-88.799425		Mississippi State	Mississippi State University
3B	1	Booneville	MS	USA	34.667131	-88.564253	NEMCC	Northeast Mississippi	Northeast Mississippi Community College
3C	2	Gainesville	FL	USA	29.643633	-82.354930	UF	Florida	University of Florida
3C	2	Orlando	FL	USA	28.602427	-81.200060		UCF	University of Central Florida
3C	1	Ocala	FL	USA	29.165736	-82.173706		College of Central Florida	College of Central Florida
3C	2	Sarasota	FL	USA	27.384828	-82.558703	NCF	New College	New College of Florida
3C	1	Bradenton	FL	USA	27.437884	-82.589685	SCF	State College-Manatee	State College of Florida Manatee-Sarasota
3C	1	Lake City	FL	USA	30.174209	-82.569137	FGC	Florida Gateway	Florida Gateway College
3C	1	Marianna	FL	USA	30.787403	-85.232581		Chipola	Chipola College
3C	1	Pensacola	FL	USA	30.480563	-87.202127		Pensacola State	Pensacola State College
3C	1	Niceville	FL	USA	30.535070	-86.474451		Northwest Florida	Northwest Florida State College
3C	1	Panama City	FL	USA	30.185815	-85.727970		Gulf Coast	Gulf Coast State College
3C	1	Tallahassee	FL	USA	30.441878	-84.298489		Florida State	Florida State University
3C	1	Tallahassee	FL	USA	30.443585	-84.341060		Tallahassee	Tallahassee Community College
3C	1	Orlando	FL	USA	28.521294	-81.465755		Valencia	Valencia College
3C	1	Fort Lauderdale	FL	USA	26.123275	-80.144797		Broward	Broward College
3C	1	Gainesville	FL	USA	29.681841	-82.438227		Santa Fe	Santa Fe College
3C	1	Avon Park	FL	USA	27.569866	-81.512386		South Florida	South Florida State College
3C	1	Melbourne	FL	USA	28.064105  -80.621310	Florida Tech	Florida Institute of Technology
4A	2	Baton Rouge	LA	USA	30.413258	-91.180002	LSU	Louisiana State	Louisiana State University
4A	2	Richardson	TX	USA	32.985454	-96.754319	UT-Dallas	Texas-Dallas	University of Texas-Dallas
4A	2	Austin	TX	USA	30.284919	-97.734057	UT-Austin	Texas	The University of Texas at Austin
4A	2	Houston	TX	USA	29.717394	-95.401831		Rice	Rice University
4A	1	New Orleans	LA	USA	29.940348	-90.120728		Tulane	Tulane University
4A	1	Lafayette	LA	USA	30.211440	-92.020412	UL-Lafayette	Louisiana-Lafayette	University of Louisiana at Lafayette
4A	1	Ruston	LA	USA	32.526375	-92.648110	LA Tech	Louisiana Tech	Louisiana Tech University
4A	1	College Station	TX	USA	30.618531	-96.336499	TAMU	Texas A&M	Texas A&M
4A	1	Denton	TX	USA	33.207488	-97.152586		North Texas	University of North Texas
4A	1	Houston	TX	USA	29.720790	-95.344062	UH	Houston	University of Houston
4A	1	Orange	TX	USA	30.091430	-93.731561	LSC-O	Lamar-Orange	Lamar State College-Orange
4B	0	El Paso	TX	USA	31.770854	-106.504622	UTEP	Texas-El Paso	University of Texas at El Paso
4B	1	Las Cruces	NM	USA	32.276736	-106.747752		NMSU	New Mexico State University
4B	1	Tuscon	AZ	USA	32.235173	-110.950995		Arizona	University of Arizona
4B	2	Tempe	AZ	USA	33.421959	-111.938138	ASU	Arizona State	Arizona State University
5B	2	Berkeley	CA	USA	37.871899	-122.258540		Berkeley	University of California-Berkeley
5B	2	Stanford	CA	USA	37.427475	-122.169719		Stanford	Stanford University
5B	1	San Francisco	CA	USA	37.762626	-122.458515	UCSF	UC San Francisco	University of California-San Francisco
5B	1	Davis	CA	USA	38.538232	-121.761712	UC-Davis	UC Davis	University of California-Davis
5B	0	Fresno	CA	USA	36.812445	-119.745781		Fresno State	California State University-Fresno
5A	2	La Jolla	CA	USA	32.880060	-117.234013	UCSD	UC San Diego	University of California-San Diego
5A	2	Los Angeles	CA	USA	34.068921	-118.445181		UCLA	University of California-Los Angeles
5A	2	Los Angeles	CA	USA	34.021883	-118.285867		USC	University of Southern California
5A	2	Claremont	CA	USA	34.094399	-117.708296		Claremont Colleges	Claremont Colleges
5A	1	Irvine	CA	USA	33.640495	-117.844296	UC-Irvine	UC Irvine	University of California-Irvine
5A	1	Pasadena	CA	USA	34.137658	-118.125269		Caltech	California Institute of Technology
5A	1	Santa Barbara	CA	USA	34.413963	-119.848947	UCSB	UC Santa Barbara	University of California-Santa Barbara
6A	2	Seattle	WA	USA	47.655335	-122.303520	UW	Washington	University of Washington
6A	2	Boise	ID	USA	43.603313	-116.201649		Boise State	Boise State University
6A	1	Eugene	OR	USA	44.044830	-123.072606		Oregon	University of Oregon
6A	1	Portland	OR	USA	45.481243	-122.630884		Reed	Reed College
6A	2	Vancouver	BC	Canada	49.260605	-123.245994	UBC	British Columbia	University of British Columbia
6A	1	Edmonton	AB	Canada	53.5232	-113.5263		Alberta	University of Alberta
6B	2	Boulder	CO	USA	40.007581	-105.265942		Colorado	University of Colorado-Boulder
6B	1	Provo	UT	USA	40.251844	-111.649316	BYU	Brigham Young	Brigham Young University
6B	0	Fort Collins	CO	USA	40.570935	-105.086552	CSU	Colorado State	Colorado State University
6B	0	Colorado Springs	CO	USA	38.892493	-104.799697	UCCS	UC-Colorado Springs	University of Colorado Colorado Springs
7A	1	Edmond	OK	USA	35.654866	-97.471463		Central Oklahoma	University of Central Oklahoma
7A	2	Norman	OK	USA	35.205894	-97.445714		Oklahoma	University of Oklahoma
7A	2	Manhattan	KS	USA	39.197444	-96.584725		Kansas State	Kansas State University
